  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  7.4500e-13         148.170634645         92216319.4368        7820.68165548        -114220.838777        -106400.157122 
  7.5000e-13         148.166217118          207999021.84        7820.44849139        -114161.939361         -106341.49087 
  7.5500e-13         148.168284877         126541598.214        7820.55763098        -114108.032008        -106287.474377 
  7.6000e-13         148.176591307         271799843.622         7820.9960576        -114060.070033        -106239.073976 
  7.6500e-13         148.199975636         153037464.771        7822.23031964        -114018.227886        -106195.997567 
  7.7000e-13         148.236740735          298582631.99        7824.17084001        -113982.918355        -106158.747515 
  7.7500e-13          148.29476766          114962964.83        7827.23359336        -113953.553811        -106126.320218 
  7.8000e-13         148.362442754         47437199.8753        7830.80559244        -113928.905699        -106098.100107 
  7.8500e-13         148.442661693         144298105.126        7835.03967555        -113909.333162        -106074.293487 
  7.9000e-13         148.534397014         258625832.439        7839.88161161        -113894.104467        -106054.222855 
  7.9500e-13         148.632559904                     0          7845.062805        -113881.507506        -106036.444701 
  8.0000e-13         148.736386775         27978291.2028        7850.54295231        -113872.088243        -106021.545291 
  8.0500e-13         148.843702038         144471340.323        7856.20722255        -113865.990631        -106009.783408 
  8.1000e-13         148.952569707         70208397.1995        7861.95343119        -113863.703241         -106001.74981 
  8.1500e-13         149.061908896          81741534.344        7867.72452739        -113864.750467        -105997.025939 
  8.2000e-13          149.16152374         93226298.0161        7872.98235721        -113867.969583        -105994.987226 
  8.2500e-13         149.260127894         115597109.938        7878.18684125        -113874.238007        -105996.051166 
  8.3000e-13          149.35847274         242206990.915        7883.37763853        -113883.918382        -106000.540744 
  8.3500e-13         149.440240254         171900003.557        7887.69345791        -113894.699757        -106007.006299 
  8.4000e-13         149.519102062         217315407.402        7891.85590955        -113907.992197        -106016.136287 
  8.4500e-13         149.591426665         163077718.241        7895.67331708        -113922.529366        -106026.856049 
  8.5000e-13         149.658960146         168236830.514        7899.23784155        -113938.087537        -106038.849695 
  8.5500e-13         149.718532797          204984853.33        7902.38218078        -113953.020985        -106050.638804 
  8.6000e-13         149.763179408         145866952.352        7904.73869988        -113966.168658        -106061.429958 
  8.6500e-13         149.790208875         269348473.311        7906.16535814        -113976.738343        -106070.572984 
  8.7000e-13          149.79069067         170704971.127        7906.19078802        -113982.990583        -106076.799795 
  8.7500e-13         149.771680272         132934579.368        7905.18738901        -113985.149509         -106079.96212 
  8.8000e-13         149.730075265         261803309.141        7902.99141061        -113981.881824        -106078.890414 
  8.8500e-13         149.670300733         77415283.5881        7899.83641578        -113973.418341        -106073.581926 
  8.9000e-13         149.590086622         83540069.7168        7895.60258744         -113959.23747        -106063.634883 
  8.9500e-13         149.490577172         60772989.1258        7890.35032048        -113938.384896        -106048.034575 
  9.0000e-13         149.379828083         105992718.214         7884.5048075        -113911.377318        -106026.872511 
  9.0500e-13         149.265290148          235004047.44        7878.45931319        -113879.240631        -106000.781318 
  9.1000e-13         149.150197819         131716969.222        7872.38455713        -113842.399294        -105970.014737 
  9.1500e-13         149.040306819         192522895.483        7866.58433545        -113801.662509        -105935.078173 
  9.2000e-13          148.93616667         286496964.779        7861.08765279        -113757.135747        -105896.048094 
  9.2500e-13         148.843809781         235950702.526        7856.21290937        -113710.050361        -105853.837452 
  9.3000e-13         148.761261953         105936877.381         7851.8559038        -113660.426142        -105808.570238 
  9.3500e-13         148.685570717         293857478.333        7847.86080003        -113608.603843        -105760.743043 
  9.4000e-13         148.615023862         85554132.6948        7844.13722483        -113555.420325          -105711.2831 
  9.4500e-13         148.555512206          152379001.21        7840.99610504        -113502.122563        -105661.126458 
  9.5000e-13         148.507445674         289081568.708        7838.45907705        -113449.772144        -105611.313067 
  9.5500e-13         148.469712804         265686856.282        7836.46747617        -113398.744042        -105562.276566 
  9.6000e-13         148.441876068         171175344.452        7834.99820902        -113350.107254        -105515.109045 
  9.6500e-13         148.421500844         73098739.6109        7833.92277232        -113303.853006        -105469.930234 
  9.7000e-13         148.406538457         124516436.647        7833.13303373        -113260.916111        -105427.783077 
  9.7500e-13           148.3949707          156684727.89        7832.52246911        -113220.712064        -105388.189595 
  9.8000e-13         148.379741939         166268706.956         7831.7186709        -113183.004686        -105351.286015 
  9.8500e-13         148.361485431         144046516.884        7830.75506338         -113148.35138        -105317.596317 
  9.9000e-13         148.340564691          129358883.37        7829.65083348        -113116.645871        -105286.995038 
  9.9500e-13         148.315373969         177285552.317         7828.3212271        -113087.759929        -105259.438701 
  1.0000e-12         148.278825967         103010781.658        7826.39216545        -113060.709332        -105234.317167 
